pair_csv_name,station_a,station_b,count,mean,median,std,min,p05,p10,p90,p95,max,time_ratio_rel_lt_0.95,time_ratio_rel_lt_0.98,time_ratio_rel_ge_0.99
region1--station5-region2--station24.csv,5,24,86165.0,0.9809078615289373,0.9840748302148441,0.004987533919925679,0.9742340819126956,0.9742340819126956,0.9752092912038995,0.985059890104949,0.985059890104949,0.994014980014994,0.0,0.4416410375442465,0.03597748505773806
region1--station5-region2--station25.csv,5,25,86165.0,0.9825006377627065,0.985059890104949,0.004958398767774304,0.9752092912038995,0.9752092912038995,0.9752092912038995,0.98604593604099,0.98604593604099,0.994014980014994,0.0,0.3332211454767017,0.04791968896883886
region1--station5-region2--station26.csv,5,26,86165.0,0.9779461656229106,0.9771626393199,0.01147540365511155,0.8971722905246942,0.9752092912038995,0.9752092912038995,0.985059890104949,0.985059890104949,0.993020965034979,0.0231068299193408,0.6027853536818893,0.003261184935878837
region1--station5-region2--station27.csv,5,27,86165.0,0.9739302908050586,0.9761854766805801,0.014715978793147198,0.9044230738544801,0.967391012926701,0.9742340819126956,0.9840748302148441,0.985059890104949,0.985059890104949,0.0484071258631695,0.8354784425230662,0.0
region1--station5-region2--station28.csv,5,28,86165.0,0.9842838481790394,0.985059890104949,0.00468506001946301,0.9752092912038995,0.9761854766805801,0.9761854766805801,0.98604593604099,0.994014980014994,0.995009990004999,0.0,0.21480879707537864,0.07876748099576394
region1--station5-region2--station29.csv,5,29,86165.0,0.9708454842380579,0.9761854766805801,0.01819218941689083,0.9053284022567368,0.9144731335926635,0.9742340819126956,0.9771626393199,0.9771626393199,0.98604593604099,0.08338652585156386,0.9740497881970638,0.0
region1--station5-region2--station30.csv,5,30,86165.0,0.9786303424672567,0.9752092912038995,0.005069858662508936,0.9664236219137744,0.9742340819126956,0.9742340819126956,0.9840748302148441,0.985059890104949,0.993020965034979,0.0,0.6292230023791563,0.0452155747693379
region1--station6-region2--station11.csv,6,11,86165.0,0.9656226441064707,0.9781407801,0.022830941285827504,0.902615132129845,0.9117324566968131,0.9283426751801201,0.9791198999999999,0.9791198999999999,0.9801,0.19726106887947542,0.9906110369639645,0.0
region1--station6-region2--station12.csv,6,12,86165.0,0.9565564482867798,0.968359372299,0.0170132386177796,0.9209418754513263,0.9218637391905169,0.9292719471272474,0.969328701,0.969328701,0.969328701,0.2927870945279406,1.0,0.0
region1--station6-region2--station13.csv,6,13,86165.0,0.9623581704027216,0.969328701,0.020471965014520775,0.9117324566968131,0.9209418754513263,0.9218637391905169,0.9791198999999999,0.9791198999999999,0.9801,0.2262635640921488,0.9787152556142286,0.0
region1--station6-region2--station14.csv,6,14,86165.0,0.9683072387561831,0.9791198999999999,0.021283283179089958,0.9117324566968131,0.9117324566968131,0.9283426751801201,0.9791198999999999,0.9801,0.9801,0.1591829629199791,0.9064005106481751,0.0
region1--station6-region2--station15.csv,6,15,86165.0,0.9507514198147401,0.9586757785760099,0.015514977469726398,0.9117324566968131,0.9209418754513263,0.9293140743190658,0.968359372299,0.969328701,0.969328701,0.34712470260546624,1.0,0.0
region1--station6-region2--station16.csv,6,16,86165.0,0.9548367591210187,0.967391012926701,0.018477712577949928,0.9117324566968131,0.9209418754513263,0.9209418754513263,0.969328701,0.969328701,0.970299,0.30186270527476355,1.0,0.0
region1--station6-region2--station17.csv,6,17,86165.0,0.9569700411802478,0.968359372299,0.018428045483439744,0.9200209335758751,0.9209418754513263,0.9209418754513263,0.969328701,0.969328701,0.969328701,0.27720071954970116,1.0,0.0
region1--station6-region2--station18.csv,6,18,86165.0,0.9494457476766268,0.9577171027974339,0.01136445384623891,0.9302443186377035,0.9302443186377035,0.9311754941318353,0.9586757785760099,0.95963541399,0.95963541399,0.43103348227238436,1.0,0.0
region1--station6-region2--station19.csv,6,19,86165.0,0.9504248064338866,0.9577171027974339,0.010335561395662758,0.9302443186377035,0.9311754941318353,0.9321076017335689,0.9586757785760099,0.95963541399,0.95963541399,0.4319039052979748,1.0,0.0
region1--station6-region2--station20.csv,6,20,86165.0,0.9498781036525379,0.9481399317694595,0.007296772039460655,0.9321076017335689,0.938658532451765,0.9415228300339079,0.9586757785760099,0.95963541399,0.95963541399,0.6037950443915743,1.0,0.0
region1--station6-region2--station21.csv,6,21,86165.0,0.9510025739974438,0.9481399317694595,0.006828731640125714,0.9330406423759448,0.9415228300339079,0.9424652953292371,0.95963541399,0.95963541399,0.96059601,0.5316543840306389,1.0,0.0
region1--station6-region2--station22.csv,6,22,86165.0,0.951893037160953,0.9586757785760099,0.012197492942238363,0.9218637391905169,0.9311754941318353,0.9311754941318353,0.967391012926701,0.968359372299,0.969328701,0.3595891603319213,1.0,0.0
region1--station6-region2--station23.csv,6,23,86165.0,0.9852466083369358,0.98901,0.01558811085764148,0.902615132129845,0.9791198999999999,0.9801,0.99,0.99,0.99,0.04460047583125399,0.0776881564440318,0.4755759299019323
region1--station6-region2--station24.csv,6,24,86165.0,0.9928513785205552,0.99,0.004599563838784876,0.9218219497334922,0.98901,0.98901,0.999,0.999,0.999,0.00027853536818893984,0.00027853536818893984,0.7226135902048395
region1--station6-region2--station25.csv,6,25,86165.0,0.9932767889270366,0.99,0.00553009146566699,0.9126037302361572,0.98901,0.98901,0.999,0.999,0.999,0.001868508094934138,0.001868508094934138,0.8602448790111994
region1--station6-region2--station26.csv,6,26,86165.0,0.9861377917083451,0.98901,0.014125294039625286,0.902615132129845,0.9801,0.98802099,0.99,0.99,0.999,0.03702199268844659,0.04860442174897,0.4625660070794406
region1--station6-region2--station27.csv,6,27,86165.0,0.9824907498582368,0.98901,0.017139461440680563,0.902615132129845,0.9292719471272474,0.9791198999999999,0.99,0.99,0.99,0.062322288632275284,0.16122555562003132,0.2640167121220913
region1--station6-region2--station28.csv,6,28,86165.0,0.9951973762402216,0.999,0.005420996984958461,0.9126037302361572,0.98901,0.99,1.0,1.0,1.0,0.0010561132710497302,0.0010561132710497302,0.9463123077815818
region1--station6-region2--station29.csv,6,29,86165.0,0.9773572694160668,0.9801,0.020296210894683833,0.902615132129845,0.9199792276559748,0.970299,0.99,0.99,0.99,0.09730168862066965,0.32355364707247725,0.1436197992224221
region1--station6-region2--station30.csv,6,30,86165.0,0.9919821873592063,0.98901,0.004331585180967275,0.9801,0.98802099,0.98901,0.998001,0.998001,0.998001,0.0,0.0,0.4326698775604944
region1--station7-region2--station11.csv,7,11,86165.0,0.9526179066012421,0.9586757785760099,0.012962220078058258,0.9218637391905169,0.9311754941318353,0.9311754941318353,0.968359372299,0.968359372299,0.969328701,0.34863343584982304,1.0,0.0
region1--station7-region2--station12.csv,7,12,86165.0,0.9493585332357409,0.9490890207902498,0.005620786352867136,0.9330406423759448,0.9415228300339079,0.9415228300339079,0.9577171027974339,0.9577171027974339,0.9586757785760099,0.7140718389137121,1.0,0.0
region1--station7-region2--station13.csv,7,13,86165.0,0.9519374708915256,0.9586757785760099,0.009487640973757636,0.9311754941318353,0.9321076017335689,0.9330406423759448,0.9586757785760099,0.95963541399,0.968359372299,0.3768119305982708,1.0,0.0
region1--station7-region2--station14.csv,7,14,86165.0,0.9559981586599553,0.95963541399,0.01500363362127394,0.9227865257162331,0.9311754941318353,0.9311754941318353,0.968359372299,0.969328701,0.969328701,0.3105553298903267,1.0,0.0
