t,link_count,changed,add_edges,del_edges
830,589,0,0,0
831,589,0,0,0
832,548,1,0,41
833,548,0,0,0
834,548,0,0,0
835,548,0,0,0
836,548,0,0,0
837,548,0,0,0
838,548,0,0,0
839,548,0,0,0
840,548,0,0,0
841,548,0,0,0
842,548,0,0,0
843,548,0,0,0
844,548,0,0,0
845,548,0,0,0
846,548,0,0,0
847,548,0,0,0
848,548,0,0,0
849,548,0,0,0
850,548,0,0,0
851,548,0,0,0
852,548,0,0,0
853,548,0,0,0
854,548,0,0,0
855,548,0,0,0
856,548,0,0,0
857,548,0,0,0
858,548,0,0,0
859,548,0,0,0
860,548,0,0,0
861,548,0,0,0
862,548,0,0,0
863,548,0,0,0
864,548,0,0,0
865,548,0,0,0
866,548,0,0,0
867,548,0,0,0
868,548,0,0,0
869,548,0,0,0
870,548,0,0,0
871,548,0,0,0
872,548,0,0,0
873,548,0,0,0
874,548,0,0,0
875,548,0,0,0
876,548,0,0,0
877,548,0,0,0
878,548,0,0,0
879,548,0,0,0
880,548,0,0,0
881,548,0,0,0
882,548,0,0,0
883,548,0,0,0
884,548,0,0,0
885,548,0,0,0
886,548,0,0,0
887,548,0,0,0
888,548,0,0,0
889,548,0,0,0
890,548,0,0,0
891,548,0,0,0
892,583,1,41,6
893,583,0,0,0
894,583,0,0,0
895,583,0,0,0
896,583,0,0,0
897,583,0,0,0
898,583,0,0,0
899,583,0,0,0
900,583,0,0,0
901,583,0,0,0
902,583,0,0,0
903,583,0,0,0
904,583,0,0,0
905,583,0,0,0
906,583,0,0,0
907,583,0,0,0
908,583,0,0,0
909,583,0,0,0
910,583,0,0,0
911,583,0,0,0
912,583,0,0,0
913,583,0,0,0
914,583,0,0,0
915,583,0,0,0
916,583,0,0,0
917,583,0,0,0
918,583,0,0,0
919,583,0,0,0
920,583,0,0,0
921,583,0,0,0
922,583,0,0,0
923,583,0,0,0
924,583,0,0,0
925,583,0,0,0
926,583,0,0,0
927,583,0,0,0
928,583,0,0,0
929,583,0,0,0
930,583,0,0,0
931,583,0,0,0
